TAXON	ORDER	FAMILY	MASS_KG	HYP	HOD	AL	OL	SF	OT	CM
Aepyceros melampus	Artiodactyla	Bovidae	52.5	3	1	0	1	0	0	0
Alcelaphus buselaphus	Artiodactyla	Bovidae	171	3	1	0	1	0	1	0
Beatragus hunteri	Artiodactyla	Bovidae	80	3	1	0	1	0	1	0
Cephalophus adersi	Artiodactyla	Bovidae	9.2	2	1	0	1	1	0	0
Cephalophus harveyi	Artiodactyla	Bovidae	14.5	2	1	0	1	1	0	0
Cephalophus nigrifrons	Artiodactyla	Bovidae	13.9	2	1	0	1	1	0	0
Cephalophus silvicultor	Artiodactyla	Bovidae	72.5	2	1	0	1	1	0	0
Cephalophus weynsi	Artiodactyla	Bovidae	17	2	1	0	1	1	0	0
Connochaetes taurinus	Artiodactyla	Bovidae	180	3	1	0	1	0	1	0
Damaliscus korrigum	Artiodactyla	Bovidae	112	3	1	0	1	0	1	0
Eudorcas thomsonii	Artiodactyla	Bovidae	20.5	3	1	0	1	0	0	0
Hippotragus equinus	Artiodactyla	Bovidae	270	3	1	0	1	1	0	0
Hippotragus niger	Artiodactyla	Bovidae	227.5	3	1	0	1	1	0	0
Kobus ellipsiprymnus	Artiodactyla	Bovidae	210	3	1	0	1	1	0	0
Litocranius walleri	Artiodactyla	Bovidae	38	2	1	0	1	0	0	0
Madoqua guentheri	Artiodactyla	Bovidae	7.5	2	1	0	1	0	0	0
Madoqua kirkii	Artiodactyla	Bovidae	5.3	2	1	0	1	0	0	0
Nanger granti	Artiodactyla	Bovidae	55	3	1	0	1	0	0	0
Neotragus moschatus	Artiodactyla	Bovidae	6.5	2	1	0	1	0	0	0
Oreotragus oreotragus	Artiodactyla	Bovidae	13	3	1	0	1	0	0	0
Oryx beisa	Artiodactyla	Bovidae	169	3	1	0	1	1	1	0
Ourebia ourebi	Artiodactyla	Bovidae	17.2	3	1	0	1	0	0	0
Philantomba monticola	Artiodactyla	Bovidae	6.2	1	1	0	1	0	0	0
Raphicerus campestris	Artiodactyla	Bovidae	10.5	3	1	0	1	0	0	0
Redunca fulvorufula	Artiodactyla	Bovidae	29.5	3	1	0	1	1	0	1
Redunca redunca	Artiodactyla	Bovidae	44.1	3	1	0	1	1	0	1
Sylvicapra grimmia	Artiodactyla	Bovidae	19.5	2	1	0	1	0	0	0
Syncerus caffer	Artiodactyla	Bovidae	580	3	1	0	1	0	1	0
Taurotragus oryx	Artiodactyla	Bovidae	570	3	1	0	1	0	0	0
Tragelaphus eurycerus	Artiodactyla	Bovidae	329	2	1	0	1	0	0	0
Tragelaphus imberbis	Artiodactyla	Bovidae	70	2	1	0	1	0	0	0
Tragelaphus scriptus	Artiodactyla	Bovidae	43.3	2	1	0	1	0	0	0
Tragelaphus spekii	Artiodactyla	Bovidae	78	2	1	0	1	0	0	0
Tragelaphus strepsiceros	Artiodactyla	Bovidae	213.5	2	1	0	1	0	0	0
Giraffa camelopardalis	Artiodactyla	Giraffidae	850	1	1	0	1	0	0	0
Hippopotamus amphibius	Artiodactyla	Hippopotamidae	1417.5	2	1	0	1	1	0	0
Hylochoerus meinertzhageni	Artiodactyla	Suidae	188.5	2	2	0	1	1	0	1
Phacochoerus aethiopicus	Artiodactyla	Suidae	50	3	3	0	0	0	1	1
Phacochoerus africanus	Artiodactyla	Suidae	82.5	3	3	0	0	0	1	1
Potamochoerus larvatus	Artiodactyla	Suidae	97.5	1	1	0	0	1	0	0
Equus burchellii	Perissodactyla	Equidae	276	3	1	0	1	0	1	1
Equus grevyi	Perissodactyla	Equidae	408	3	1	0	1	0	1	1
Diceros bicornis	Perissodactyla	Rhinoceratidae	1180.5	1	1	1	1	0	0	0
Ceratotherium simum	Perissodactyla	Rhinocerotidae	2177.6	3	1	0	1	0	1	1
Cercocebus galeritus	Primates	Cercopithecidae	7.8	1	1	0	0	0	0	0
Cercopithecus ascanius	Primates	Cercopithecidae	3.5	1	1	0	0	0	0	0
Cercopithecus mitis	Primates	Cercopithecidae	5	1	1	0	0	0	0	0
Cercopithecus neglectus	Primates	Cercopithecidae	5.5	1	1	0	0	0	0	0
Chlorocebus pygerythrus	Primates	Cercopithecidae	5.2	1	1	0	0	0	0	0
Chlorocebus tantalus	Primates	Cercopithecidae	4.2	1	1	0	0	0	0	0
Colobus angolensis	Primates	Cercopithecidae	9.8	1	1	1	0	0	0	0
Colobus guereza	Primates	Cercopithecidae	10.6	1	1	1	0	0	0	0
Erythrocebus patas	Primates	Cercopithecidae	8.1	1	1	0	0	0	0	0
Papio anubis	Primates	Cercopithecidae	19.4	1	1	0	0	0	0	0
Papio cynocephalus	Primates	Cercopithecidae	21	1	1	0	0	0	0	0
Piliocolobus rufomitratus	Primates	Cercopithecidae	8	1	1	1	0	0	0	0
Galago gallarum	Primates	Galagidae	0.2	1	1	0	0	0	0	0
Galago senegalensis	Primates	Galagidae	0.2	1	1	0	0	0	0	0
Galago zanzibaricus	Primates	Galagidae	0.1	1	1	0	0	0	0	0
Otolemur crassicaudatus	Primates	Galagidae	1.5	1	1	0	0	0	0	0
Otolemur garnettii	Primates	Galagidae	0.8	1	1	0	0	0	0	0
Perodicticus potto	Primates	Lorisidae	1.1	1	1	0	0	0	0	0
Loxodonta africana	Proboscidea	Elephantidae	3940	3	3	0	1	0	1	1
