OLS mass	LARS(3)	LARS best	OLS no. spec.	OLS all	modelno
PREC	0.07	0.35	0.41	0.62	-1.18	2
PREC_MIN	-0.11	0.34	0.36	0.41	-0.21	2
PRECsp_MIN	0.36	0.63	0.63	0.55	-0.97	3
PREC_MAX	-0.05	-0.02	0.14	0.47	0.05	5
PRECsp_MAX	-0.09	0.24	0.24	0.45	-1.6	3
NPP	0.28	0.57	0.57	0.59	-1.72	3
NPP_MIN	0.38	0.58	0.72	0.33	-0.93	5
NDVI	0.11	-0.08	0.08	0.64	-1.4	2
NDVImin	0.12	0.1	0.1	0.64	-1.27	3
NDVImin_MIN	0.23	0.29	0.29	0.72	-0.48	3
NDVImin1	0.29	0.29	0.29	0.68	-1.13	3
NDVI1_MIN	0.1	0.17	0.17	0.6	-1.43	3
NDVImin9	0.13	0.24	0.39	0.28	-1.73	6
TEMP	-0.15	-0.05	0.09	0.22	-0.41	1
TEMP_MIN	-0.13	0.03	0.08	0.2	-0.21	1
TEMPmin_MIN	-0.19	-0.34	0	0.14	-0.46	0
TEMPmin	-0.21	-0.37	0.04	0.15	-0.6	6
TEMP_MAX	-0.17	-0.12	0.09	0.22	-0.58	1
TEMPmax_MAX	-0.12	0.18	0.18	0.27	-0.56	1
TEMPmax	-0.11	0.22	0.22	0.26	-0.22	3
