OLS mass	LARS(3)	LARS best	OLS no. spec.	OLS all	modelno
PREC	0.07	0.38	0.41	0.62	-1.29	2
PREC_MIN	-0.11	0.36	0.36	0.41	-0.09	3
PREC_low	0.36	0.53	0.53	0.55	-0.72	3
PREC_MAX	-0.05	-0.01	0.21	0.47	-0.32	6
PREC_high	-0.09	0.24	0.24	0.45	-1.84	3
NPP	0.28	0.51	0.54	0.59	-1.62	2
NPP_MIN_MIN	-0.08	0.4	0.41	0.42	-0.08	1
NPP_low_low	0.38	0.65	0.65	0.33	-0.58	3
NPP_low_MIN	-0.05	0.4	0.44	0.43	-0.2	1
NPP_MIN_low	0.33	0.55	0.55	0.57	-0.6	3
NDVI	0.11	0.26	0.26	0.64	-1.34	3
NDVI_MIN9y	0.13	-0.08	0.01	0.28	-1.09	5
NDVI_low1y	0.29	0.26	0.29	0.68	-0.99	1
NDVI_low1y_MIN	0.1	0.2	0.22	0.6	-1.46	4
NDVI_low	0.12	0.27	0.27	0.64	-1.19	3
NDVI_low_MIN	0.23	0.33	0.35	0.72	-0.41	4
TEMP	-0.15	-0.05	0.09	0.22	-0.69	1
TEMP_MIN	-0.13	0.04	0.08	0.2	-0.49	1
TEMP_low	-0.21	-0.37	0.01	0.15	-0.71	6
TEMP_low_MIN	-0.19	-0.33	0	0.14	-0.57	0
TEMP_MAX	-0.17	-0.12	0.09	0.22	-0.81	1
TEMP_high	-0.11	0.19	0.19	0.26	-0.65	3
TEMP_high_MAX	-0.12	0.16	0.18	0.27	-0.92	1
