	intercept	HYP	HOD	AL	OL	SF	OT	CM	R2 fit	R2* cv
PREC	-1765	0	2156	0	0	3969	-2441	0	0.68	0.38
PREC_MIN	-1688	0	1481	0	0	2325	-762	0	0.66	0.36
PREC_low	966	0	0	0	0	1456	-2444	-310	0.76	0.53
PREC_MAX	1486	0	0	775	0	3741	-245	0	0.27	-0.01
PREC_high	-3561	0	3553	0	0	5339	-1300	0	0.56	0.24
NPP	1179	0	0	0	0	2907	-2331	-15	0.71	0.51
NPP_MIN_MIN	-2447	0	2049	0	0	4112	-876	0	0.66	0.4
NPP_low_low	959	32	0	0	0	2651	0	-3510	0.77	0.65
NPP_low_MIN	-2265	0	1896	0	0	4071	-914	0	0.67	0.4
NPP_MIN_low	1162	0	0	0	0	2307	-2041	-667	0.74	0.55
NDVI	0.337	0	0	1.429	0	0.879	-0.374	0	0.59	0.26
NDVI_MIN9y	0.41	0	0	0.789	-0.098	0	-0.479	0	0.5	-0.08
NDVI_low1y	0.419	0	0	0.721	0	0.396	-0.869	0	0.66	0.26
NDVI_low1y_MIN	0.314	0	0	0.846	0	0.88	-0.378	0	0.51	0.2
NDVI_low	0.347	0	0	1.281	0	0.818	-0.447	0	0.59	0.27
NDVI_low_MIN	0.3	0	0	0.986	0	0.887	-0.63	0	0.67	0.33
TEMP	43.9	0	0	0	-23	-53.5	13.1	0	0.57	-0.05
TEMP_MIN	44.3	0	0	0	-24.7	-56.4	11.6	0	0.6	0.04
TEMP_low	28.6	0	0	0	-13.6	-35.7	7.2	0	0.37	-0.37
TEMP_low_MIN	28.3	0	0	0	-13.4	-37.8	2.8	0	0.37	-0.33
TEMP_MAX	44.7	0	0	0	-22.5	-52.3	13.7	0	0.54	-0.12
TEMP_high	55.2	0	0	-16.8	-20.7	-67.9	0	0	0.62	0.19
TEMP_high_MAX	54	0	0	-8.9	-18	-62.9	0	0	0.57	0.16
