SITE,SITE_name,AREA,LAT,LON,ELEV,PRECsp_MIN,PRECsp_MAX,PREC,TEMP,TEMPmax_MAX,TEMPmin_MIN,NDVI,NDVI_MIN,park,PREC_MIN,PREC_MAX,TEMPmin,TEMPmax,TEMP_MIN,TEMP_MAX,no_species_fact,MASS_log_mean,HYP,HOR,AL,OL,SF,OT,CM,HYP_3,HYP_2,HYP_1,HOR_1,HOR_2,HOR_3,AL_0,AL_1,OL_1,OL_0,SF_0,SF_1,OT_0,OT_1,CM_0,CM_1,NPP,NPP_MIN
ABD,Aberdares,1930,-0.58574,36.7081,2712,937,2325,1656,11.9,20.7,4.3,0.714,0.391,ABD,700,3637,5.5,18.4,10.4,13.1,23,4.2,2.13,1.217,0.087,0.783,0.217,0.174,0.174,0.391,0.348,0.261,0.87,0.043,0.087,0.913,0.087,0.783,0.217,0.783,0.217,0.826,0.174,0.826,0.174,1576,1022
EL,Elgon,733,0.97127,34.6762,2504,1127,1868,1606,15,23.8,8,0.683,0.298,EL,491,2514,8.3,21.8,14,16.1,17,2.849,1.588,1.059,0.059,0.588,0.294,0.059,0.118,0.118,0.353,0.529,0.941,0.059,0,0.941,0.059,0.588,0.412,0.706,0.294,0.941,0.059,0.882,0.118,1846,1257
KK,Kakamega,540,0.21709,34.9848,1793,1461,1980,1779,18.8,28.5,9.9,0.751,0.561,KK,751,2910,10.7,27,17.7,19.8,20,2.462,1.5,1.15,0.05,0.45,0.25,0.05,0.1,0.05,0.4,0.55,0.9,0.05,0.05,0.95,0.05,0.45,0.55,0.75,0.25,0.95,0.05,0.9,0.1,2079,1469
MM,Masaai Mara,1520,-1.47489,35.1074,1601,899,1352,1038,19.5,27.8,11.6,0.533,0.276,MM,334,2034,12.7,26.4,18.2,20.6,35,4.018,2.2,1.143,0.057,0.743,0.2,0.229,0.143,0.514,0.171,0.314,0.914,0.029,0.057,0.943,0.057,0.743,0.257,0.8,0.2,0.771,0.229,0.857,0.143,1494,1349
MR,Meru,5090,-0.04388,38.6174,421,306,656,430,25.6,34.8,16.7,0.371,0.227,MR,4,1728,18.4,32.9,23.8,27.2,38,3.877,2.105,1.184,0.053,0.711,0.158,0.237,0.211,0.421,0.263,0.316,0.895,0.026,0.079,0.947,0.053,0.711,0.289,0.842,0.158,0.763,0.237,0.789,0.211,745,552
MKE,Mt Kenya,2600,-0.18514,37.3245,2686,807,2174,1594,12.4,21.2,4.8,0.633,0.268,MKE,596,3461,5.9,19.1,11.1,13.6,23,3.83,2.174,1.174,0.043,0.696,0.217,0.217,0.174,0.478,0.217,0.304,0.913,0,0.087,0.957,0.043,0.696,0.304,0.783,0.217,0.783,0.217,0.826,0.174,1620,1054
NR,Nairobi,66,-1.37959,36.863,1628,635,840,742,19,27.8,11,0.417,0.198,NR,127,1953,12.9,25.3,16.7,20.7,31,3.797,2.258,1.065,0.065,0.774,0.161,0.226,0.161,0.548,0.161,0.29,0.968,0,0.032,0.935,0.065,0.774,0.226,0.839,0.161,0.774,0.226,0.839,0.161,1167,1032
NV,Naivasha,119,-0.91865,36.3166,1974,669,826,709,16.7,26.5,8.4,0.457,0.257,NV,273,1859,9.6,23.9,14.8,18.2,31,3.967,2.258,1.065,0.032,0.806,0.226,0.194,0.161,0.484,0.29,0.226,0.968,0,0.032,0.968,0.032,0.806,0.194,0.774,0.226,0.806,0.194,0.839,0.161,1126,1076
SB,Samburu,424,0.61437,37.6678,883,432,689,504,23.6,33.5,14.6,0.298,0.181,SB,47,1619,15.4,32,22.6,24.8,29,3.975,2.172,1.138,0.034,0.759,0.103,0.207,0.138,0.448,0.276,0.276,0.931,0,0.069,0.966,0.034,0.759,0.241,0.897,0.103,0.793,0.207,0.862,0.138,853,748
SH,Shimba Hills,224,-4.25885,39.3836,242,1003,1185,1102,24.5,31.3,18.3,0.622,0.431,SH,251,2665,20.3,28.8,22.3,26.6,20,2.593,1.65,1.1,0.1,0.45,0.25,0.1,0.05,0.2,0.25,0.55,0.95,0,0.05,0.9,0.1,0.45,0.55,0.75,0.25,0.9,0.1,0.95,0.05,1557,1459
SHP,Shompole,183,-1.92106,36.0127,1120,474,798,567,22.6,31.3,14.5,0.537,0.338,SHP,71,1563,16.2,29.2,20.5,24.2,29,4.246,2.379,1.138,0.069,0.828,0.103,0.276,0.138,0.586,0.207,0.207,0.931,0,0.069,0.931,0.069,0.828,0.172,0.897,0.103,0.724,0.276,0.862,0.138,941,810
TN,Tana,560,-1.59528,40.1467,77,451,650,508,27.3,34.8,19.9,0.389,0.235,TN,153,1086,22,32.6,25.2,29.1,37,3.513,1.973,1.189,0.054,0.649,0.189,0.243,0.162,0.351,0.27,0.378,0.892,0.027,0.081,0.946,0.054,0.649,0.351,0.811,0.189,0.757,0.243,0.838,0.162,859,776
TV,Tsavo,20210,-2.99771,38.4953,544,504,1117,714,24.5,32.6,17.1,0.344,0.202,TV,133,1754,19,30.1,22.1,26.5,35,3.779,2.143,1.114,0.029,0.714,0.171,0.229,0.143,0.457,0.229,0.314,0.943,0,0.057,0.971,0.029,0.714,0.286,0.829,0.171,0.771,0.229,0.857,0.143,1133,853
