HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	1.132	0	0.888	-0.543	0	0.373
2	0	0	1.124	0	0.802	-0.328	0	0.358
3	0	0	2.533	0.037	1.158	0	0	0.109
4	0	0	1.401	0	0.797	-0.45	0	0.367
5	0	0	1.129	0	0.759	-0.282	0	0.369
6	0	0	2.242	0	0.464	-0.781	0	0.436
7	0	0	1.92	0	0.885	-0.397	0	0.319
8	0	0	1.306	0	1.105	-0.292	0	0.29
9	0	0.371	0.983	0	0	-1.13	0	0.27
10	0	0	2.755	0	0.856	-0.526	0	0.305
11	0	0	0.326	0	1.493	-0.279	0	0.247
12	0	0	1.062	0	1.002	-0.089	0	0.29
13	0	0	1.035	0	0.925	-0.34	0	0.353
14	0.337	0	0	1.429	0	0.879	-0.374	0
