HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0.973	0	0.828	-0.622	0	0.384
2	0	0	0.975	0	0.754	-0.412	0	0.368
3	0	0	2.489	0.038	1.166	0	0	0.084
4	0	0	1.255	0	0.745	-0.515	0	0.374
5	0	0	0.976	0	0.697	-0.354	0	0.379
6	0	0	2.058	0	0.422	-0.836	0	0.441
7	0	0	1.778	0	0.824	-0.47	0	0.328
8	0	0	1.164	0	1.037	-0.365	0	0.301
9	0	0.539	1.008	0	0	-1.28	0	0.082
10	0	0	2.669	0	0.804	-0.608	0	0.311
11	0	0	0.186	0	1.432	-0.351	0	0.256
12	0	0	0.93	0	0.929	-0.182	0	0.305
13	0	0	0.89	0	0.864	-0.413	0	0.363
14	0.347	0	0	1.281	0	0.818	-0.447	0
