HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	-0.041	0.269	-0.843	0	0.499
2	0	0	0.507	0	0.372	-0.863	0	0.434
3	0	0	1.962	0	0.936	-0.18	0	0.098
4	0	0	0.712	0	0.379	-0.884	0	0.426
5	0	0	0.494	0	0.306	-0.8	0	0.443
6	0	0	1.29	0	0.105	-1.154	0	0.488
7	0	0	1.274	0	0.406	-0.898	0	0.398
8	0	0	0.656	0	0.527	-0.815	0	0.39
9	0	0.21	0.258	0	0	-1.226	0	0.364
10	0	0	1.139	0	0.327	-0.899	0	0.418
11	0	0.71	0	0	1.3	-1.128	0	-0.492
12	0	0	0.534	0	0.435	-0.75	0	0.404
13	0	0	0.413	0	0.432	-0.842	0	0.432
14	0.419	0	0	0.721	0	0.396	-0.869	0
