HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	-0.065	0.803	-0.496	0	0.426
2	0	0	0.335	0	0.706	-0.261	0	0.348
3	0	0.331	2.379	0	1.391	0	0	-0.335
4	0	0	0.807	0	0.77	-0.479	0	0.354
5	0	0	0.545	0	0.771	-0.297	0	0.345
6	0	0	1.786	0	0.398	-0.848	0	0.429
7	0	0	1.484	0	0.886	-0.404	0	0.29
8	0	0	0.571	0	1.36	-0.219	0	0.217
9	0	0.63	0.562	0	0	-1.303	0	-0.021
10	0	0	2.507	0	0.874	-0.566	0	0.267
11	0	0.18	0	0	1.544	-0.357	0	0.011
12	0	0	0.433	0	0.982	-0.096	0	0.275
13	0	0	0.36	0	0.939	-0.334	0	0.334
14	0.314	0	0	0.846	0	0.88	-0.378	0
