step	ELEV	TEMP	TEMP_MAX	TEMP_MIN	TEMPmax_MAX	TEMPmin_MIN	TEMPmax	TEMPmin
0	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174
1	-0.235	-0.087	-0.112	-0.091	0.029	-0.237	0.023	-0.235
2	-0.483	-0.243	-0.322	-0.245	-0.106	-0.44	-0.026	-0.334
3	-0.676	-0.259	-0.39	-0.186	-0.121	-0.554	-0.065	-0.589
4	-0.561	-0.386	-0.37	-0.223	-0.219	-0.521	-0.063	-0.594
5	-0.411	-0.449	-0.288	-0.223	-0.24	-0.538	-0.078	-0.451
6	-0.451	-0.331	-0.242	-0.263	-0.392	-0.385	-0.492	-0.336
7	-0.571	-0.5	-0.299	-0.694	-0.55	-0.467	-0.601	-0.372
8	-0.768	-0.505	-0.448	-0.694	-0.596	-0.466	-0.862	-0.354
9	-0.975	-0.781	-0.723	-0.993	-0.676	-0.662	-0.976	-0.473
10	-1.071	-0.801	-0.756	-1.04	-0.732	-0.568	-1.089	-0.549
