step	ELEV	TEMP	TEMP_MIN	PREC	PREC_MIN	NPP	NPP_MIN	NDVI	NDVI_MIN
0	0	0	0	0	0	0	0	0	0
1	0.069	0.055	0.006	0.046	0.134	0.023	0.617	0.245	0.206
2	0.083	0.127	0.039	0.144	0.454	0.109	0.75	0.541	0.363
3	0.199	0.159	0.042	0.341	0.686	0.169	0.758	0.581	0.704
4	0.238	0.268	0.103	0.346	0.726	0.333	0.875	0.623	0.806
5	0.254	0.329	0.116	0.349	0.748	0.345	0.877	0.694	0.816
6	0.266	0.349	0.125	0.48	0.761	0.487	0.896	0.711	0.831
7	0.272	0.358	0.144	0.522	0.778	0.624	0.901	0.8	0.839
8	0.411	0.374	0.169	0.532	0.797	0.647	0.908	0.888	0.852
9	0.426	0.407	0.222	0.627	0.827	0.67	0.914	0.89	0.885
10	0.439	0.433	0.364	0.742	0.845	0.685	0.925	0.917	0.957
