step	ELEV	TEMP	TEMP_MAX	TEMP_MIN	TEMPmax_MAX	TEMPmin_MIN	TEMPmax	TEMPmin
1	-0.34	-0.262	-0.271	-0.259	-0.224	-0.309	-0.229	-0.319
2	-0.7	-0.653	-0.65	-0.667	-0.623	-0.677	-0.642	-0.674
3	-1.044	-0.978	-0.972	-0.998	-0.959	-0.964	-0.978	-0.948
4	-0.527	-0.462	-0.477	-0.451	-0.322	-0.622	-0.323	-0.627
5	-0.083	-0.152	-0.126	-0.228	-0.233	-0.162	-0.295	-0.091
6	-0.227	0.195	0.107	0.266	0.253	0.018	0.379	-0.017
7	-0.027	0.294	0.235	0.321	0.356	0.106	0.435	0.115
8	0.216	0.398	0.385	0.26	0.462	0.07	0.398	0.2
9	-0.124	0.199	0.185	-0.019	0.307	-0.259	0.229	-0.037
10	0.108	-0.669	-0.161	-2.189	-2.206	0.061	-3.761	0.499
