step	ELEV	TEMP	TEMP_MAX	TEMP_MIN	TEMPmax_MAX	TEMPmin_MIN	TEMPmax	TEMPmin
1	0.017	0.02	0.022	0.012	0.031	0.007	0.027	0.014
2	0.02	0.024	0.028	0.013	0.035	0.017	0.028	0.023
3	0.22	0.154	0.172	0.126	0.097	0.204	0.083	0.236
4	0.42	0.369	0.375	0.367	0.361	0.375	0.361	0.387
5	0.42	0.369	0.375	0.368	0.366	0.377	0.366	0.391
6	0.574	0.63	0.61	0.662	0.654	0.596	0.696	0.582
7	0.638	0.681	0.668	0.703	0.718	0.638	0.743	0.632
8	0.849	0.881	0.883	0.874	0.869	0.89	0.863	0.896
9	0.851	0.886	0.887	0.877	0.882	0.89	0.877	0.896
10	0.853	0.889	0.89	0.879	0.885	0.894	0.88	0.899
