NPP_MIN	HYP	WCT_CS	WCT_AL	WCT_OL	WCT_CP	WCT_SF	WCT_CM	HYP_2	HYP_3	WCT_CS_4	WCT_CS_5	WCT_CS_6	WCT_CS_7	WCT_AL_1	WCT_AL_2	WCT_OL_2	WCT_OL_3	WCT_OL_5	WCT_CP_1	WCT_CP_2	WCT_SF_1	WCT_SF_2	MASS_log_mean
0	0	0	0	0	1	0	-1	-1	0	0	0	1	-1	-1	0	0	0	0	1	0	1	-1	0
0	0	0	0	0	1	0	-1	0	0	0	-1	1	-1	0	0	0	0	0	1	0	1	-1	0
0	0	-1	0	0	0	0	-1	-1	0	0	0	1	-1	-1	0	0	0	0	1	0	1	-1	0
0	0	0	0	0	0	0	-1	1	-1	0	0	0	-1	-1	1	0	0	0	1	0	1	-1	0
0	0	0	0	0	1	0	0	-1	0	0	-1	1	-1	-1	0	-1	0	0	1	0	1	-1	0
0	0	0	-1	0	0	0	-1	-1	0	0	-1	1	-1	0	0	0	0	0	1	0	1	-1	0
0	0	-1	0	0	1	0	-1	0	0	0	-1	1	-1	0	0	0	0	0	1	0	1	-1	0
0	0	0	0	0	1	0	-1	0	0	0	-1	1	-1	-1	0	0	0	0	1	0	1	-1	0
0	0	0	0	0	0	0	0	-1	0	0	-1	1	-1	1	0	-1	0	0	1	0	1	-1	0
0	0	0	0	0	1	0	-1	-1	0	0	-1	1	-1	-1	0	0	0	0	1	0	1	-1	0
0	0	-1	0	0	0	0	-1	-1	0	0	-1	1	-1	0	1	1	0	0	0	0	1	-1	0
0	0	-1	-1	0	0	0	-1	-1	0	0	0	1	-1	-1	0	0	0	0	1	0	1	-1	0
0	0	-1	0	0	1	0	-1	0	0	0	-1	1	-1	0	0	0	0	0	1	0	1	-1	0
