NPP_MIN	HYP	WCT_CS	WCT_AL	WCT_OL	WCT_CP	WCT_SF	WCT_CM	HYP_2	HYP_3	WCT_CS_4	WCT_CS_5	WCT_CS_6	WCT_CS_7	WCT_AL_1	WCT_AL_2	WCT_OL_2	WCT_OL_3	WCT_OL_5	WCT_CP_1	WCT_CP_2	WCT_SF_1	WCT_SF_2	MASS_log_mean
0	0	0	0	0	4	0	8	1	0	0	0	3	7	6	0	0	0	0	5	0	9	10	0
0	0	0	0	0	2	0	5	0	0	0	1	3	6	0	0	0	0	0	4	0	8	10	0
0	0	1	0	0	0	0	6	5	0	0	0	4	8	3	0	0	0	0	7	0	9	10	0
0	0	0	0	0	0	0	7	2	4	0	0	0	5	9	8	0	0	0	3	0	6	10	0
0	0	0	0	0	4	0	0	1	0	0	3	8	7	5	0	2	0	0	6	0	9	10	0
0	0	0	4	0	0	0	8	2	0	0	3	6	7	0	0	0	0	0	5	0	9	10	0
0	0	1	0	0	3	0	8	0	0	0	4	6	7	0	0	0	0	0	5	0	9	10	0
0	0	0	0	0	2	0	8	0	0	0	4	5	7	3	0	0	0	0	6	0	9	10	0
0	0	0	0	0	0	0	0	4	0	0	6	7	8	2	0	3	0	0	5	0	9	10	0
0	0	0	0	0	4	0	7	2	0	0	3	6	8	1	0	0	0	0	5	0	9	10	0
0	0	4	0	0	0	0	8	3	0	0	6	5	7	0	1	2	0	0	0	0	9	10	0
0	0	1	3	0	0	0	8	4	0	0	0	7	6	2	0	0	0	0	5	0	9	10	0
0	0	2	0	0	3	0	8	0	0	0	4	6	7	0	0	0	0	0	5	0	9	10	0
